Date,Transaction,Name,Memo,Amount
2/13/2023,DEBIT,TCGPLAYER.COM 315501047,55429503041715838282212; 05999;,-21.96
2/13/2023,DEBIT,TCGPLAYER.COM 315501047,55429503041715838943011; 05999;,-17.96
2/13/2023,DEBIT,TCGPLAYER.COM 315501047,55429503041717859201139; 05999;,-8.11
2/13/2023,DEBIT,THECALIEFFECT.COM LAS VEGAS,82711163042000006413540; 05691;,-44.31
2/10/2023,DEBIT,AMK WALMART J STREET BENTONVIL,55436873041160415746636; 05814;,-1.92
2/10/2023,DEBIT,AMK WALMART J STREET 831-20198,55436873041160415740837; 05814;,-8.64
2/9/2023,DEBIT,CHICK-FIL-A #03901 ROGERS,05140483039710023539262; 05814;,-7.76
2/9/2023,DEBIT,WAL-MART #5837 ROGERS,55483823040091006644062; 05542;,-36.06
2/9/2023,DEBIT,AMK WALMART J STREET BENTONVIL,55436873040160404949317; 05814;,-5.79
2/8/2023,DEBIT,CHICK-FIL-A #03901 ROGERS,05140483038710023408832; 05814;,-10.76
2/8/2023,DEBIT,AMK WALMART J STREET BENTONVIL,55436873039160392626847; 05814;,-1.92
2/8/2023,DEBIT,AMK WALMART J STREET BENTONVIL,55436873039160392630898; 05814;,-5.79
2/8/2023,DEBIT,TCGPLAYER.COM 315501047,55429503039713449320053; 05999;,-7.87
2/6/2023,DEBIT,WM SUPERCENTER #5837 479-254-1,05436843037400052034803; 05411;,-11.80
2/6/2023,DEBIT,PANERA BREAD #606200 O 855-372-6,55432863037109394531312; 05814;,-33.83
2/6/2023,DEBIT,CHIPOTLE ONLINE 949524400,55310203037083304831482; 05814;,-22.85
2/6/2023,DEBIT,WAL-MART #5837 ROGERS,05416013035141006733860; 05411;,-126.47
2/6/2023,DEBIT,CHICK-FIL-A #03901 ROGERS,05140483034710023924832; 05814;,-14.94
2/6/2023,DEBIT,MDC*CARROLL ECC AR BERRYVILL,55436873035170352755894; 04900;,-95.98
2/6/2023,DEBIT,AMK WALMART J STREET BENTONVIL,55436873035170350831200; 05814;,-1.92
2/6/2023,DEBIT,AMK WALMART J STREET 831-20198,55436873035170350833461; 05814;,-5.79
2/3/2023,DEBIT,CHICK-FIL-A #03901 ROGERS,05140483033710021833960; 05814;,-14.94
2/3/2023,DEBIT,ALLIANCE JIU JITSU OF 479402491,55546503033206851200024; 08299;,-131.70
2/2/2023,DEBIT,WAL-MART #5837 ROGERS,05416013032141005366988; 05411;,-26.34
2/2/2023,CREDIT,PAYMENT THANK YOU,INTERNET; 00000;,1934.06
