MCC,Description
5941,SPORTING GOODS STORES
5942,BOOK STORES
5943,"STATIONERY STORES, OFFICE & SCHOOL SUPPLY STORES"
5944,"CLOCK, JEWELRY, SILVERWARE OR WATCH STORES"
5945,"HOBBY, TOY OR GAMES STORES"
5946,CAMERA AND/OR PHOTOGRAPHIC SUPPLY STORES
5947,"CARD, GIFT, NOVELTY OR SOUVENIR SHOPS"
5948,LUGGAGE OR LEATHER GOODS STORES
5949,"NEEDLEWORK, SEWING OR FABRIC AND PIECE GOODS STORES"
5950,GLASSWARE/CRYSTAL STORES
5960,DIRECT MARKETING INSURANCE SERVICES
5961,MAIL ORDER HOUSES INCL CATALOG ORDER STORES BOOK/RECORD CLUB
5962,"TELEMARK, TRAVEL-RELATED ARRANGEMENT SER"
5963,DOOR-TO-DOOR SALES OR DIRECT SELLING ESTABLISHMENTS
5964,CATALOG MERCHANT
5965,COMBINATION CATALOG AND RETAIL MERCHANT
5966,OUTBOUND TELEMARKETING MERCHANT
5967,INBOUND TELESERVICES MERCHANT
5968,CONTINUITY/SUBSCRIPTION MERCHANT
5969,DIRECT MARKETERS (NEC)
5970,CRAFT OR ARTIST'S SUPPLY SHOPS
5971,ART DEALERS OR GALLERIES
5972,STAMP AND COIN STORES
5973,RELIGIOUS GOODS STORES
5974,RUBBER STAMP STORES/RESERVED FOR NATIONAL USE
5975,"HEARING AIDS -- SALES, SERVICE AND SUPPLY STORES"
5976,"ORTHOPEDIC GOODS, PROSTHETIC DEVICES"
5977,COSMETIC STORES
5978,"TYPEWRITER STORES -- SALES, RENTALS, SERVICE"
5983,"FUEL DEALERS-FUEL,OIL,WOOD,COAL,LIQUE"
5992,FLORISTS
5993,CIGAR STORES AND STANDS
5994,NEWS DEALERS AND NEWSSTANDS
5995,"PET SHOPS, PET FOODS AND SUPPLIES STORES"
5996,"SWIMMING POOLS -- SALES, SERVICE AND SUPPLIES"
5997,ELECTRIC RAZOR STORES -- SALES AND SERVICE
5998,AWNING AND TENT SHOPS
5999,MISCELLANEOUS & SPECIALTY STORES
6010,FINANCIAL INSTITUTIONS - MANUAL CASH DISBURSEMENTS
6011,FINANCIAL INSTITUTIONS - AUTOMATED CASH DISBURSEMENTS
6012,FINANCIAL INSTITUTIONS - MERCHANDISE & SERVICES
6050,QUASI CASH-MEMBER FINANCIAL INSTITUTION
6051,QUASI CASH
6211,SECURITY BROKERS/DEALERS
6300,INSURANCE SALES AND UNDERWRITING
6381,INSURANCE PREMIUMS
6399,INSURANCE (NEC)
6513,REAL ESTATE AGENTS AND MANAGERS-RENTALS
6529,REMOTE STORED VALUE LOAD-MEMBER FINANCIAL INSTITUTION
6530,REMOTE STORED VALUE LOAD
6531,PAYMENT SERVICE PROVIDER-MONEY TRANSFER
6532,PAYMENT TRANSACTION - MEMBER FINANCIAL I
6533,PAYMENT TRANSACTION - MERCHANT
6534,MONEY TRANSFER-MEMBER FINANCIAL INSTITUT
6535,VALUE PURCHASE-MEMBER FINANCIAL INSTITUT
6536,MONEYSEND INTRACOUNTRY
6537,MONEYSEND INTERCOUNTRY
6538,MASTERCARD MONEYSEND FUNDING TRANSACTION
6540,POI FUNDING TRANSACTIONS
6555,MASTERCARD INITIATED REBATE/REWARDS
6611,OVERPAYMENTS
6760,SAVINGS BONDS
7011,"LODGING,HOTELS,MOTELS,RESORTS"
7012,TIMESHARES
7032,SPORT/RECREATIONAL CAMPS
7033,CAMPGROUNDS OR TRAILER PARKS
7210,"CLEANING, LAUNDRY AND GARMENT SERVICES"
7211,DIAPER SERVICES OR LAUNDROMATS
7216,DRY CLEANERS
7217,UPHOLSTERY CLEANING OR CARPET CLEANING
7221,PHOTOGRAPHIC STUDIOS
7230,BARBER OR BEAUTY SHOPS
7251,"SHOE REPAIR SHOPS, SHOE SHINE PARLORS"
7261,CREMATORIES OR FUNERAL SERVICES
7272,ESCORT SERVICES
7273,DATING OR ESCORT SERVICES
7276,TAX PREPARATION SERVICE
7277,"COUNSELING SERVICE -- DEBT, MARRIAGE, PERSONAL"
7278,BUYING OR SHOPPING SERVICES CLUBS
7280,HOSPITAL PATIENT PERSONAL FUNDS WITHDRAW
7295,BABYSITTING SERVICES
7296,"CLOTHING RENTAL -- COSTUMES, FORMAL WEAR, UNIFORMS"
7297,MASSAGE PARLORS
7298,BEAUTY OR HEALTH SPAS
7299,MISC PERSONAL SERVICES NOT ELSEWHERE CLASSIFIED
7311,ADVERTISING SERVICES
7321,CONSUMER CREDIT REPORTING AGENCIES
7322,DEBT COLLECTION AGENCIES
7332,PHOTOCOPYING & BLUEPRINTING SERVICES
7333,"PHOTOGRAPHY, ART AND GRAPHIC -- COMMERCIAL"
7338,"PRINT SHOPS, QUICK COPY SERVICES OR REPRODUCTION SERVICES"
7339,STENOGRAPHIC SERVICES
7341,WINDOW CLEANING SERVICES
7342,DISINFECTING OR EXTERMINATING SERVICES
7349,"CLEANING AND MAINTENANCE, JANITORIAL SERVICES"
7361,EMPLOYMENT AGENCIES OR TEMPORARY HELP SERVICES
7372,"COMPUTER PROGRAMMING, SYSTEMS DESIGN OR DATA PROCESSING SERV"
7375,INFORMATION RETRIEVAL SERVICES
7379,"COMPUTER MAINTENANCE, REPAIR AND SERVICES"
7392,"MANAGEMENT, PUBLIC RELATIONS OR CONSULTING SERVICES"
7393,"DETECTIVE AGENCY, PROTECTIVE SERV, GUARD DOG, ARMORED CAR"
7394,"EQUIP, TOOL, FURNITURE, APPLIANCE LEASE/RENTAL"
7395,"PHOTOFINISHING LABORATORIES, PHOTO DEVELOPING"
7399,BUSINESS SERVICES (NEC)
7511,TRUCK STOP TRANSACTIONS
7512,CAR RENTAL AGENCIES -- NOT LISTED BELOW
7513,"RENTALS -- TRUCKS, TRAILERS OR UTILITY TRAILERS"
7519,RECREATIONAL VEHICLE RENTALS OR MOTOR HOME RENTALS
7523,AUTOMOBILE PARKING OR PARKING LOTS
7524,EXPRESS PAYMENT SERVICES - PARKING/GARAGE
7531,AUTOMOTIVE BODY REPAIR SHOPS
7534,TIRE RETREADING AND REPAIR SHOPS
7535,AUTOMOTIVE PAINT SHOPS
7538,AUTOMOTIVE SERVICE SHOPS (NON-DEALER)
7542,CAR WASHES
7549,TOWING SERVICES
7622,"RADIO, STEREO OR TELEVISION REPAIR SHOPS"
7623,AIR CONDITIONING  OR REFRIGERATION REPAIR SHOPS
7629,APPLIANCE OR ELECTRICAL REPAIR SHOPS
7631,"CLOCK, JEWELRY OR WATCH  REPAIR"
7641,REUPHOLSTERY AND FURNITURE REPAIR
7692,WELDING
7699,REPAIR SHOPS AND RELATED SERVICES -- MISCELLANEOUS
7800,GOVERNMENT-OWNED LOTTERIES
7801,GOVERNMENT LICENSED CASINOS (ONLINE GAMBLING)
7802,GOVERNMENT LICENSED HORSE/DOG RACING
7829,MOTION PICTURE AND VIDEO TAPE PRODUCTION AND DISTRIBUTION
7832,MOTION PICTURE THEATERS
7833,EXPRESS PAYMENT SERVICES - MOTION PICTURE
7841,VIDEO TAPE RENTAL STORES
7911,"DANCE HALLS, STUDIOS AND SCHOOLS"
7922,"THEATRICAL PRODUCERS (EXCL MOTION PICTURES), TICKET AGENCIES"
7929,"BANDS, ORCHESTRAS OR ENTERTAINERS"
7932,BILLIARD AND POOL ESTABLISHMENTS
7933,BOWLING ALLEYS
7941,"COMMERCIAL/PROFESSIONAL SPORTS, PROMOTERS, ATHLETIC FIELDS"
7991,TOURIST ATTRACTIONS AND EXHIBITS
7992,GOLF COURSES -- PUBLIC
7993,VIDEO AMUSEMENT GAME SUPPLIES
7994,VIDEO GAME ARCADES/ESTABLISHMENTS
7995,"BETTING, WAGERING, LOTTERY, GAMBLING TICKETS OR CHIPS"
7996,"AMUSEMENT PARKS, CARNIVALS, CIRCUSES OR FORTUNE TELLERS"
7997,"MEMBERSHIP CLUBS INCL SPORTS, REC, ATHLETIC, COUNTRY, GOLF"
7998,"AQUARIUMS, SEAQUARIUMS, DOLPHINARIUMS"
7999,AMUSEMENT/RECREATIONAL SERVICES NOT ELSEWHERE CLASSIFIED
8011,DOCTORS OR PHYSICIANS
8021,DENTISTS OR ORTHODONTISTS
8031,OSTEOPATHS
8041,CHIROPRACTORS
8042,OPHTHALMOLOGISTS OR OPTOMETRISTS
8043,OPTICIANS
8044,EYEGLASSES STORES OR OPTICAL GOODS
8049,CHIROPODISTS OR PODIATRISTS
8050,CONVALESCENT HOMES OR NURSING AND PERSONAL CARE FACILITIES
8062,HOSPITALS
8071,DENTAL LABORATORIES OR MEDICAL LABORATORIES
8099,MEDICAL SERVICES AND HEALTH PRACTITIONERS (NEC)
8111,ATTORNEYS OR LEGAL SERVICES
8211,ELEMENTARY OR SECONDARY SCHOOLS
8220,"UNIVERSITIES, COLLEGES, SR COLLEGES OR PROFESSIONAL SCHOOLS"
8241,CORRESPONDENCE SCHOOLS
8244,BUSINESS SCHOOLS OR SECRETARIAL SCHOOLS
8249,VOCATIONAL OR TRADE SCHOOLS
8299,SCHOOLS AND EDUCATIONAL SERVICES (NEC)
8351,DAY OR CHILD CARE SERVICES
8398,CHARITABLE  OR SOCIAL SERVICES ORGANIZATIONS
8641,"SOCIAL, FRATERNAL OR CIVIC ASSOCIATIONS"
8651,POLITICAL ORGANIZATIONS
8661,RELIGIOUS ORGANIZATIONS
8675,AUTOMOBILE ASSOCIATIONS
8699,MEMBERSHIP ORGANIZATIONS NOT ELSEWHERE CLASSIFIED
8734,TESTING LABORATORIES (NON-MEDICAL TESTING)
8911,"ARCHITECTURAL, ENGINEERING AND SURVEYING SERVICES"
8931,"ACCOUNTING, BOOKKEEPING OR AUDITING SERVICES"
8999,PROFESSIONAL SERVICES (NEC)
9211,"ALIMONY, CHILD SUPPORT OR COURT COSTS"
9222,FINES
9223,BAIL AND BOND PAYMENTS
9311,TAX PAYMENTS
9399,GOVERNMENT SERVICES (NEC) OR FIRE DEPARTMENTS
9401,I-PURCHASING PILOT
9402,POSTAGE STAMPS
9405,INTERGOVERMENT TRANSACTIONS
9411,GOVERNMENT LOAN PAYMENTS
9700,AUTOMATED REFERRAL SERVICE
9701,VISA CREDENTIAL SERVER
9702,GCAS EMERGENCY SERVICES (VISA USE ONLY)
9751,"U.K. SUPERMARKETS, ELECTRONIC HOT FILE"
9752,"U.K. PETROL STATIONS, ELECTRONIC HOT FILE"
9754,"GAMBLING-HORSE, DOG RACING-ST LOTTERY"
9950,INTRA-COMPANY PURCHASES
9999,CLIENT DEFINED MCC
